time,problem_id,problem_rating_at_time,problem_rating_now,type,av_secs,seconds,after_first,user_rating,user_rating_change,correct,wrong_move,num_moves,is_mate,non_winning,user_rd,tags
2014-05-03 16:10:05+00,92784,964.772,910.045,Blitz,16.5346,6,0,1227.69,22.0911,1,-,1,true,false,138.486,"Exposed King:6,Damiano's Bishop Mate:4,Attraction:1"
2014-05-03 16:09:52+00,106453,981.922,1019.87,Blitz,16.1626,4,0,1205.6,29.7351,1,-,1,true,false,146.022,"Exposed King:7,Damiano's Bishop Mate:3"
2014-05-03 16:09:40+00,50751,1111.13,1060.87,Blitz,15.8155,51,1,1175.86,-56.4253,1,-,2,false,false,155.198,"Discovered Attack:12,Sacrifice:8,Fork:1,Multiple Attack:1"
2014-05-03 16:08:25+00,94115,1305.35,1286.78,Blitz,39.439,3201314,0,1232.29,-87.3481,0,-,2,false,false,170.938,Fork:15
2014-03-27 14:52:42+00,97269,1389.26,1345.38,Blitz,28.0153,75,0,1319.64,-103.551,0,1.b3,3,false,false,181.303,"Fork:14,Pin:8,Discovered Attack:8,Unpinning:5,Desperado:2"
2014-03-27 14:51:00+00,59231,1595.06,1683.04,Blitz,32.7547,68,5,1423.19,-104.34,0,2.Nxe8,3,true,false,211.96,"Arabian Mate:32,Sacrifice:17,Clearance:15,Exposed King:9,Distraction:6,Discovered Attack:4,Sacrifice:3,File Clearance:3,Demolition Sacrifice:3"
2014-03-27 14:49:41+00,8100,1306.63,1296.74,Blitz,20.0985,17,7,1527.53,27.5263,1,-,3,false,false,264.359,"Discovered Attack:7,Distraction:5,Exposed King:5,Capturing Defender:3,Zwischenzug:3"
2013-11-25 19:05:44+00,64793,1119.42,1082.71,Standard,43.5668,16,2,1308.77,2.72024,1,-,2,true,false,42.4738,"Back Rank Mate:6,Attraction:5,Sacrifice:4"
2013-11-25 19:05:19+00,7995,1089.57,1051.05,Standard,55.8656,25,0,1306.05,-8.70623,0,1...bxc5,1,false,false,43.2674,"Hanging Piece:16,Mate Threat:8,Needs More Moves...:2,Defensive Move:2"
2013-11-25 19:04:51+00,48790,1070.59,1029.35,Standard,51.3409,8,0,1314.76,2.29353,1,-,1,false,false,44.0785,"Pin:17,Hanging Piece:5"
2013-11-25 19:04:40+00,72097,1243.5,1196.47,Standard,106.693,18,7,1312.47,4.85663,1,-,2,false,false,44.9078,"Pin:19,Skewer:8,Clearance:8,Needs More Moves...:8,Discovered Attack:6,Needs Different Opponent Move...:1"
